OBJECTID,ADDRESS,OWNERSHIP_TYPE,BUILDING_USE,USE_CODE,USE_DESCRIPTION,USE_LONG_DESCRIPTION,AGENCY,OWNERNAME,OWNERNAME2,WARD,ANC,ZONING,SITENAME,PROPTYPE,UNITS,MAR_ID,SHAPEAREA,SHAPELEN
116249,4877 F STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,R-2,GLENCREST:  4877 F STREET SE,Residential-Single Family (Row,0,305198,0,0
116278,5014 KIMI GRAY COURT SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,R-5-D,GLENCREST:  5014 KIMI GRAY COURT SE,Residential-Single Family (Row,0,307480,0,0
116310,5054 G STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,R-5-C,GLENCREST:  5054 G STREET SE,Residential-Single Family (Row,0,305314,0,0
116312,1732 STANTON TERRACE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,SP-2,HENSON RIDGE:  1732 STANTON TERRACE SE,Residential-Single Family (Row,0,298921,0,0
116313,1810 ALABAMA AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,R-3,HENSON RIDGE:  1810 ALABAMA AVENUE SE,Residential-Single Family (Row,0,277972,0,0
116327,911 VALLEY AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8E,C-2-B,WHEELER CREEK:  911 VALLEY AVENUE SE,Residential-Single Family (Row,0,82138,0,0
116349,5012 KIMI GRAY COURT SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,R-5-D,GLENCREST:  5012 KIMI GRAY COURT SE,Residential-Single Family (Row,0,307446,0,0
116367,5092 G STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,C-2-B,GLENCREST:  5092 G STREET SE,Residential-Single Family (Row,0,305371,0,0
116382,5056 G STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,D/R-1-A,GLENCREST:  5056 G STREET SE,Residential-Single Family (Row,0,305317,0,0
116411,929 VALLEY AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8E,DC/R-5-D,WHEELER CREEK:  929 VALLEY AVENUE SE,Residential-Single Family (Row,0,82757,0,0
116412,927 VALLEY AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8E,R-5-D,WHEELER CREEK:  927 VALLEY AVENUE SE,Residential-Single Family (Row,0,82728,0,0
116456,5076 G STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,R-3,GLENCREST:  5076 G STREET SE,Residential-Single Family (Row,0,305348,0,0
116460,4873 F STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUHTORITY,,7,ANC 7E,C-1,GLENCREST:  4873 F STREET SE,Residential-Single Family (Row,0,305196,0,0
116472,4875 F STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,R-5-E,GLENCREST:  4875 F STREET SE,Residential-Single Family (Row,0,305197,0,0
116475,1834 ALABAMA AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,C-M-1,HENSON RIDGE:  1834 ALABAMA AVENUE SE,Residential-Single Family (Row,0,299000,0,0
116480,419 51ST STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,R-4,GLENCREST:  419 51ST STREET SE,Residential-Single Family (Row,0,305181,0,0
116501,3264 15TH PLACE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,C-3-C,HENSON RIDGE:  3264 15TH PLACE SE,Residential-Single Family (Row,0,303516,0,0
116504,1842 ALABAMA AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,R-2,HENSON RIDGE:  1842 ALABAMA AVENUE SE,Residential-Single Family (Row,0,299012,0,0
116505,909 BLAKNEY LANE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8E,C-2-A,WHEELER CREEK:  909 BLAKNEY LANE SE,Residential-Single Family (Row,0,280213,0,0
116513,3203 STANTON ROAD SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,C-2-A,HENSON RIDGE:  3203 STANTON ROAD SE,Residential-Single Family (Row,0,155517,0,0
116557,421 51ST STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,R-5-A,GLENCREST:  421 51ST STREET SE,Residential-Single Family (Row,0,305182,0,0
116559,3225 STANTON ROAD SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,R-3,HENSON RIDGE:  3225 STANTON ROAD SE,Residential-Single Family (Row,0,38060,0,0
116565,417 51ST STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,HE-4,GLENCREST:  417 51ST STREET SE,Residential-Single Family (Row,0,305180,0,0
116597,3272 15TH PLACE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,WH/R-1-B,HENSON RIDGE:  3272 15TH PLACE SE,Residential-Single Family (Row,0,303520,0,0
116606,1829 TUBMAN ROAD SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,R-3,HENSON RIDGE:  1829 TUBMAN ROAD SE,Residential-Single Family (Row,0,298990,0,0
116618,905 VALLEY AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8E,R-3,WHEELER CREEK:  905 VALLEY AVENUE SE,Residential-Single Family (Row,0,81870,0,0
116620,1421 SHIPPEN LANE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,C-1,HENSON RIDGE:  1421 SHIPPEN LANE SE,Residential-Single Family (Row,0,305622,0,0
116626,907 BLAKNEY LANE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8E,D/R-1-A,WHEELER CREEK:  907 BLAKNEY LANE SE,Residential-Single Family (Row,0,280211,0,0
116627,4893 F STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,D/R-1-B,GLENCREST:  4893 F STREET SE,Residential-Single Family (Row,0,305206,0,0
116628,633 I STREET SE,PUBLIC,PUBLIC HOUSING,026,Residential-Cooperative-Horizontal,"(SPECIAL RATE) : Structure with more than 1 unit, of 1 or more rooms; 1 corporate ownership accounts for benefit of all tenant-shareholders, or lease from shareholders; entrance no higher than 3 floors; may have accessory uses. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,6,ANC 6B,R-5-B,TOWNHOMES ON CAPITOL HILL:  633 I STREET SE,Residential-Cooperative (Horiz,0,289963,0,0
116630,1734 STANTON TERRACE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,C-2-A,HENSON RIDGE:  1734 STANTON TERRACE SE,Residential-Single Family (Row,0,56698,0,0
116651,5010 IVORY WALTERS LN SE WASHINGTON DC 20019,PUBLIC,PUBLIC HOUSING,092,Vacant-With Permit,(Class 4): Lot for which an unexpired building permit has been issued.,DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,R-5-A,GLENCREST:  5010 IVORY WALTERS LANE SE,Vacant-Permit,0,305245,0,0
116659,1814 ALABAMA AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,C-M-1,HENSON RIDGE:  1814 ALABAMA AVENUE SE,Residential-Single Family (Row,0,277974,0,0
116668,403 51ST STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,C-2-B,GLENCREST:  403 51ST STREET SE,Residential-Single Family (Row,0,305172,0,0
116675,921 VALLEY AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8E,C-3-C,WHEELER CREEK:  921 VALLEY AVENUE SE,Residential-Single Family (Row,0,82571,0,0
116686,1736 STANTON TERRACE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,W-1,HENSON RIDGE:  1736 STANTON TERRACE SE,Residential-Single Family (Row,0,298923,0,0
116695,5072 G STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,WP/C-2-A,GLENCREST:  5072 G STREET SE,Residential-Single Family (Row,0,305342,0,0
116701,1542 ALABAMA AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,C-2-A,HENSON RIDGE:  1542 ALABAMA AVENUE SE,Residential-Single Family (Row,0,301314,0,0
116741,1483 BRUCE STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,R-5-D,HENSON RIDGE:  1483 BRUCE STREET SE,Residential-Single Family (Row,0,62843,0,0
116743,5074 G STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,M,GLENCREST:  5074 G STREET SE,Residential-Single Family (Row,0,305345,0,0
116765,4897 F STREET SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,R-5-A,GLENCREST:  4897 F STREET SE,Residential-Single Family (Row,0,305208,0,0
116771,900 5TH STREET SE,PUBLIC,PUBLIC HOUSING,022,Residential-Apartment-Elevator,"(Class 2) : Structure with 12 or more units; 1 owner; elevator; more than 3 floors; may have accessory uses (parking, laundry, etc.). Owner's motivation is investment income.",DCHA,CAPPER SENIOR LLC,,8,ANC 8F,D/R-5-A,CAPPER SENIOR,Residential-Apartment (Elevato,188,302625,0,0
116774,1025 13TH STREET SE,PUBLIC,PUBLIC HOUSING,021,Residential-Apartment-Walk-Up,"(Class 2) : Structure of 6 or more units; 1 owner; owner's motivation is to earn investment income; no units higher than 3rd floor; no elevator; may have accessory uses.",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,6,ANC 6B,R-1-A,HOPKINS APARTMENTS:  1025 13TH STREET SE,Residential-Apartment (Walkup),12,75246,0,0
116794,1823 TUBMAN ROAD SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,DC/R-5-B,HENSON RIDGE:  1823 TUBMAN ROAD SE,Residential-Single Family (Row,0,298981,0,0
116795,285 V STREET NW,PUBLIC,PUBLIC HOUSING,021,Residential-Apartment-Walk-Up,"(Class 2) : Structure of 6 or more units; 1 owner; owner's motivation is to earn investment income; no units higher than 3rd floor; no elevator; may have accessory uses.",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,1,ANC 1B,ARTS/CR,KELLY MILLER APARTMENTS,Residential-Apartment (Walkup),0,290703,0,0
116796,1371 HALF STREET SW,PUBLIC,PUBLIC HOUSING,021,Residential-Apartment-Walk-Up,"(Class 2) : Structure of 6 or more units; 1 owner; owner's motivation is to earn investment income; no units higher than 3rd floor; no elevator; may have accessory uses.",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,6,ANC 6D,NOPD/C-2-A,JAMES CREEK DWELLINGS,Residential-Apartment (Walkup),0,290452,0,0
116798,1532 TANNER COURT SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,DC/UNZONED,HENSON RIDGE:  1532 TANNER COURT SE,Residential-Single Family (Row,0,304499,0,0
116799,1548 ALABAMA AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,D/R-3,HENSON RIDGE:  1548 ALABAMA AVENUE SE,Residential-Single Family (Row,0,301317,0,0
116801,5005 QUEEN'S STROLL PLACE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,7,ANC 7E,DC/SP-1,GLENCREST:  5005 QUEENS STROLL PLACE SE,Residential-Single Family (Row,0,305237,0,0
116802,917 VALLEY AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8E,DC/R-5-B,WHEELER CREEK:  917 VALLEY AVENUE SE,Residential-Single Family (Row,0,82404,0,0
116807,919 VALLEY AVENUE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8E,GA/C-3-A,WHEELER CREEK:  919 VALLEY AVENUE SE,Residential-Single Family (Row,0,82486,0,0
116817,3270 15TH PLACE SE,PUBLIC,PUBLIC HOUSING,011,Residential-Row-Single-Family,"(Class 1 or 2) : Single family dwelling with 2 walls build as common walls with another structure, 2 exposed walls; primarily used as a place of abode. ",DCHA,DISTRICT OF COLUMBIA HOUSING AUTHORITY,,8,ANC 8C,R-5-D,HENSON RIDGE:  3270 15TH PLACE SE,Residential-Single Family (Row,0,303519,0,0
